sent_bucket,mean_pnl,median_pnl,win_rate,trades
Extreme Fear,0.0036249999999999998,0.0,0.0625,32
Extreme Greed,7.602399590909091,0.49702500000000005,0.5181818181818182,110
Fear,4.549259666666666,0.0,0.10526315789473684,57
Greed,14.424345209606987,4.660564,0.6768558951965066,229
Neutral,0.0,0.0,0.0,14
